trade_date,000063.SZ,000069.SZ
20160104,16.92,7.95
20160105,17.22,7.94
20160106,17.38,8.1
20160107,15.78,7.35
20160108,16.23,7.64
20160111,15.47,7.14
20160112,15.57,7.24
20160113,15.22,7.04
20160114,15.6,7.21
20160115,14.99,6.84
20160118,15.14,6.83
20160119,15.55,7.13
20160120,15.7,6.97
20160121,15.51,6.8
20160122,15.79,6.8
20160125,15.8,6.81
20160126,14.52,6.29
20160127,14.53,6.2
20160128,13.85,6.25
20160129,14.34,6.42
20160201,14.18,6.33
20160202,14.55,6.63
20160203,14.41,6.63
20160204,14.61,6.66
20160205,14.46,6.62
20160215,14.18,6.46
20160216,14.77,6.7
20160217,15.04,6.77
20160218,14.9,6.75
20160219,15.1,6.81
20160222,15.36,6.95
20160223,15.16,6.85
20160224,15.39,6.92
20160225,14.14,6.43
20160226,14.3,6.5
20160229,13.68,6.47
20160301,14.02,6.72
20160302,15.02,7.39
20160303,15.28,7.24
20160304,15.06,7.22
20160307,,7.25
20160308,,7.19
20160309,,6.84
20160310,,6.6
20160311,,6.56
20160314,,6.78
20160315,,6.71
20160316,,6.66
20160317,,6.81
20160318,,7.07
20160321,,7.18
20160322,,7.05
20160323,,7.07
20160324,,6.94
20160325,,7.03
20160328,,6.93
20160329,,6.77
20160330,,6.97
20160331,,7.01
20160401,,6.94
20160405,,7.06
20160406,,7.02
20160407,15.22,6.93
20160408,14.51,6.82
20160411,14.65,6.92
20160412,14.3,6.89
20160413,14.67,7.0
20160414,14.83,7.05
20160415,14.74,7.03
20160418,14.43,6.91
20160419,14.41,6.92
20160420,13.88,6.7
20160421,13.93,6.7
20160422,14.01,6.78
20160425,14.16,6.68
20160426,14.21,6.7
20160427,14.05,6.67
20160428,14.07,6.61
20160429,14.23,6.65
20160503,14.61,6.79
20160504,14.48,6.8
20160505,14.59,6.8
20160506,13.96,6.62
20160509,13.58,6.51
20160510,13.65,6.52
20160511,13.62,6.53
20160512,13.71,6.49
20160513,13.59,6.45
20160516,13.63,6.47
20160517,13.5,6.44
20160518,13.36,6.5
20160519,13.23,6.43
20160520,13.27,6.45
20160523,13.34,6.47
20160524,13.18,6.41
20160525,13.29,6.41
20160526,13.28,6.38
20160527,13.29,6.4
20160530,13.29,6.37
20160531,13.78,6.62
20160601,13.72,6.58
20160602,13.78,6.6
20160603,13.95,6.63
20160606,13.98,6.61
20160607,13.8,6.6
20160608,13.81,6.59
20160613,13.18,6.37
20160614,13.2,6.38
20160615,13.47,6.46
20160616,13.31,6.38
20160617,13.75,6.36
20160620,13.67,6.43
20160621,13.52,6.39
20160622,13.7,6.44
20160623,13.93,6.41
20160624,13.63,6.33
20160627,14.18,6.39
20160628,14.42,6.39
20160629,14.32,6.41
20160630,14.34,6.4
20160701,14.2,6.45
20160704,14.42,6.65
20160705,14.38,6.68
20160706,14.36,6.64
20160707,14.25,6.64
20160708,14.18,6.73
20160711,14.23,6.69
20160712,14.75,6.89
20160713,14.89,7.0
20160714,14.78,7.12
20160715,14.55,7.04
20160718,15.0,6.97
20160719,14.88,6.88
20160720,15.02,6.91
20160721,14.99,6.91
20160722,14.72,6.83
20160725,15.13,6.82
20160726,15.15,6.94
20160727,14.55,6.72
20160728,14.81,6.81
20160729,14.56,6.77
20160801,14.21,6.77
20160802,14.32,6.9
20160803,14.32,6.93
20160804,14.35,6.97
20160805,14.45,6.95
20160808,14.87,7.01
20160809,14.84,6.99
20160810,14.72,6.89
20160811,14.65,6.83
20160812,14.89,7.26
20160815,15.18,7.51
20160816,15.16,7.3
20160817,15.03,7.21
20160818,14.96,7.44
20160819,14.89,7.32
20160822,14.7,7.32
20160823,14.7,7.27
20160824,14.7,7.18
20160825,14.7,7.04
20160826,14.7,7.05
20160829,14.66,7.15
20160830,14.67,7.14
20160831,14.68,7.18
20160901,14.78,7.07
20160902,14.67,7.06
20160905,14.71,7.08
20160906,14.94,7.09
20160907,15.01,7.07
20160908,15.11,7.07
20160909,14.86,7.02
20160912,14.49,6.83
20160913,14.6,6.85
20160914,14.5,6.85
20160919,14.7,6.9
20160920,14.76,6.89
20160921,14.8,6.92
20160922,14.85,7.02
20160923,14.75,6.95
20160926,14.52,6.8
20160927,14.69,6.89
20160928,14.7,6.87
20160929,14.71,6.99
