trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20191129,0,300408.SZ,18.23,18.98,18.09,18.72,18.05,0.67,3.7119,209073.61,391550.88
20191128,1,300408.SZ,17.53,18.11,17.49,18.05,17.49,0.56,3.2018,92298.65,165491.333
20191127,2,300408.SZ,17.32,17.58,17.19,17.49,17.46,0.03,0.1718,41068.53,71623.93
20191126,3,300408.SZ,17.28,17.46,17.15,17.46,17.12,0.34,1.986,62720.43,108556.28
20191125,4,300408.SZ,17.45,17.56,17.08,17.12,17.41,-0.29,-1.6657,60709.92,104530.005
20191122,5,300408.SZ,17.5,17.83,17.39,17.41,17.64,-0.23,-1.3039,54691.6,96206.306
20191121,6,300408.SZ,17.55,17.76,17.43,17.64,17.6,0.04,0.2273,38384.65,67656.595
20191120,7,300408.SZ,18.03,18.04,17.59,17.6,17.93,-0.33,-1.8405,58673.32,104421.072
20191119,8,300408.SZ,17.77,18.04,17.73,17.93,17.76,0.17,0.9572,63316.15,113650.029
20191118,9,300408.SZ,17.5,17.81,17.41,17.76,17.4,0.36,2.069,60467.74,106951.716
20191115,10,300408.SZ,17.83,17.84,17.4,17.4,17.78,-0.38,-2.1372,49320.09,86936.474
20191114,11,300408.SZ,17.79,17.84,17.65,17.78,17.65,0.13,0.7365,59590.51,105946.288
20191113,12,300408.SZ,17.46,17.7,17.37,17.65,17.37,0.28,1.612,41626.58,72972.932
20191112,13,300408.SZ,17.52,17.63,17.3,17.37,17.54,-0.17,-0.9692,46267.8,80599.505
20191111,14,300408.SZ,17.92,17.92,17.46,17.54,17.93,-0.39,-2.1751,69257.93,122035.613
20191108,15,300408.SZ,17.81,18.06,17.64,17.93,17.71,0.22,1.2422,77503.8,138736.316
20191107,16,300408.SZ,17.88,17.88,17.55,17.71,17.76,-0.05,-0.2815,73675.4,130267.296
20191106,17,300408.SZ,17.95,18.09,17.61,17.76,17.99,-0.23,-1.2785,114426.43,203874.977
20191105,18,300408.SZ,18.17,18.18,17.7,17.99,18.03,-0.04,-0.2219,128076.12,229858.566
20191104,19,300408.SZ,18.66,18.75,17.98,18.03,18.57,-0.54,-2.9079,152001.85,276012.73
20191101,20,300408.SZ,18.66,18.81,18.55,18.57,18.77,-0.2,-1.0655,47065.24,87860.591
20191031,21,300408.SZ,18.84,18.97,18.52,18.77,18.76,0.01,0.0533,38807.92,72881.978
20191030,22,300408.SZ,18.97,19.05,18.59,18.76,19.07,-0.31,-1.6256,43867.83,82301.873
20191029,23,300408.SZ,19.0,19.16,18.89,19.07,18.99,0.08,0.4213,55462.39,105699.41
20191028,24,300408.SZ,19.15,19.19,18.85,18.99,19.08,-0.09,-0.4717,51273.81,97377.336
20191025,25,300408.SZ,18.8,19.18,18.7,19.08,18.82,0.26,1.3815,64750.79,122981.589
20191024,26,300408.SZ,18.77,18.85,18.6,18.82,18.67,0.15,0.8034,49784.92,93390.593
20191023,27,300408.SZ,18.61,18.85,18.51,18.67,18.6,0.07,0.3763,72361.23,135375.302
20191022,28,300408.SZ,18.55,18.64,18.38,18.6,18.34,0.26,1.4177,47460.53,87834.188
20191021,29,300408.SZ,18.5,18.5,18.01,18.34,18.46,-0.12,-0.6501,55302.76,100905.137
20191018,30,300408.SZ,18.68,18.86,18.31,18.46,18.56,-0.1,-0.5388,68950.7,128133.176
20191017,31,300408.SZ,18.54,18.64,18.36,18.56,18.5,0.06,0.3243,52396.86,97062.968
20191016,32,300408.SZ,18.65,18.69,18.2,18.5,18.6,-0.1,-0.5376,80807.76,149348.913
20191015,33,300408.SZ,18.99,18.99,18.41,18.6,18.98,-0.38,-2.0021,95620.3,178007.437
20191014,34,300408.SZ,19.21,19.35,18.93,18.98,19.12,-0.14,-0.7322,110879.22,211717.741
20191011,35,300408.SZ,19.53,19.6,19.01,19.12,19.46,-0.34,-1.7472,95539.73,183238.668
20191010,36,300408.SZ,19.17,19.64,18.62,19.46,19.27,0.19,0.986,112508.68,216576.492
20191009,37,300408.SZ,19.2,19.39,19.08,19.27,19.3,-0.03,-0.1554,86366.43,166033.872
20191008,38,300408.SZ,19.82,19.99,19.15,19.3,20.0,-0.7,-3.5,137259.96,265394.909
20190930,39,300408.SZ,20.16,20.2,19.46,20.0,20.07,-0.07,-0.3488,78841.34,156694.905
20190927,40,300408.SZ,19.7,20.15,19.55,20.07,19.61,0.46,2.3457,80997.14,161371.432
20190926,41,300408.SZ,20.2,20.24,19.48,19.61,20.1,-0.49,-2.4378,134257.44,265093.316
20190925,42,300408.SZ,20.85,20.85,19.99,20.1,20.92,-0.82,-3.9197,143020.48,290125.174
20190924,43,300408.SZ,20.98,21.21,20.6,20.92,20.92,0.0,0.0,122823.13,256153.97
20190923,44,300408.SZ,21.38,21.38,20.5,20.92,21.3,-0.38,-1.784,137956.41,287404.306
20190920,45,300408.SZ,20.27,21.86,20.27,21.3,20.32,0.98,4.8228,284476.09,604155.387
20190919,46,300408.SZ,20.09,20.44,19.98,20.32,20.19,0.13,0.6439,91472.09,184815.018
20190918,47,300408.SZ,20.34,20.5,20.02,20.19,20.22,-0.03,-0.1484,75246.38,152482.048
20190917,48,300408.SZ,21.1,21.16,20.15,20.22,21.19,-0.97,-4.5776,139129.96,285418.065
20190916,49,300408.SZ,21.66,21.7,21.1,21.19,21.5,-0.31,-1.4419,141493.39,301272.28
20190912,50,300408.SZ,21.28,21.76,21.1,21.5,21.07,0.43,2.0408,129819.03,278936.096
20190911,51,300408.SZ,21.48,21.68,21.0,21.07,21.46,-0.39,-1.8173,115248.04,244080.505
20190910,52,300408.SZ,21.55,22.0,21.32,21.46,21.4,0.06,0.2804,140051.1,302574.31
20190909,53,300408.SZ,21.4,21.8,20.99,21.4,21.26,0.14,0.6585,190254.95,405775.416
20190906,54,300408.SZ,21.2,21.47,21.07,21.26,21.25,0.01,0.0471,98486.82,209202.394
20190905,55,300408.SZ,20.3,21.45,20.25,21.25,20.15,1.1,5.4591,264858.52,558067.079
20190904,56,300408.SZ,20.27,20.38,19.91,20.15,20.27,-0.12,-0.592,66416.7,133522.408
20190903,57,300408.SZ,20.0,20.39,19.89,20.27,20.0,0.27,1.35,94906.24,191424.828
20190902,58,300408.SZ,19.76,20.24,19.46,20.0,19.71,0.29,1.4713,118069.65,235608.717
20190830,59,300408.SZ,19.89,20.17,19.57,19.71,19.79,-0.08,-0.4042,107487.18,213312.787
20190829,60,300408.SZ,19.89,20.09,19.74,19.79,19.88,-0.09,-0.4527,52557.95,104537.777
20190828,61,300408.SZ,20.0,20.13,19.86,19.88,20.0,-0.12,-0.6,57320.72,114449.422
20190827,62,300408.SZ,20.19,20.54,20.0,20.0,20.13,-0.13,-0.6458,88725.51,179571.071
20190826,63,300408.SZ,20.22,20.55,19.9,20.13,20.4,-0.27,-1.3235,83076.39,167247.206
20190823,64,300408.SZ,20.27,20.54,19.93,20.4,20.13,0.27,1.3413,88396.57,178885.176
20190822,65,300408.SZ,20.35,20.61,20.03,20.13,20.5,-0.37,-1.8049,77374.48,156205.28
20190821,66,300408.SZ,20.62,20.9,20.37,20.5,20.85,-0.35,-1.6787,72673.09,149510.366
20190820,67,300408.SZ,20.66,20.92,20.28,20.85,20.64,0.21,1.0174,120526.63,248917.536
20190819,68,300408.SZ,19.51,20.77,19.51,20.64,19.5,1.14,5.8462,149043.25,302205.307
20190816,69,300408.SZ,20.39,20.39,19.3,19.5,20.15,-0.65,-3.2258,136687.96,267132.803
20190815,70,300408.SZ,19.86,20.35,19.71,20.15,20.16,-0.01,-0.0496,57647.82,115165.635
20190814,71,300408.SZ,20.41,20.69,20.15,20.16,20.0,0.16,0.8,72553.41,147881.978
20190813,72,300408.SZ,19.7,20.45,19.59,20.0,19.7,0.3,1.5228,89103.4,179182.801
20190812,73,300408.SZ,19.03,19.87,18.91,19.7,19.0,0.7,3.6842,91252.53,177243.53
20190809,74,300408.SZ,19.58,19.72,18.9,19.0,19.45,-0.45,-2.3136,66122.92,127312.549
20190808,75,300408.SZ,19.31,19.58,19.22,19.45,19.3,0.15,0.7772,49425.26,95907.143
20190807,76,300408.SZ,19.59,19.65,19.01,19.3,19.43,-0.13,-0.6691,56926.9,110161.108
20190806,77,300408.SZ,19.55,19.78,19.2,19.43,19.61,-0.18,-0.9179,88588.92,172399.936
20190805,78,300408.SZ,20.25,20.38,19.6,19.61,20.25,-0.64,-3.1605,91413.03,182887.587
20190802,79,300408.SZ,20.58,20.58,20.1,20.25,20.83,-0.58,-2.7844,90190.77,182462.069
20190801,80,300408.SZ,20.6,21.0,20.55,20.83,20.84,-0.01,-0.048,44952.69,93477.648
20190731,81,300408.SZ,20.77,20.9,20.6,20.84,20.89,-0.05,-0.2393,38279.5,79507.08
20190730,82,300408.SZ,21.27,21.3,20.85,20.89,21.26,-0.37,-1.7404,66227.33,139182.229
20190729,83,300408.SZ,20.8,21.3,20.71,21.26,20.88,0.38,1.8199,78350.86,165647.195
20190726,84,300408.SZ,20.76,21.05,20.63,20.88,20.75,0.13,0.6265,65140.46,135660.613
20190725,85,300408.SZ,20.19,21.1,20.0,20.75,20.16,0.59,2.9266,139417.21,289184.573
20190724,86,300408.SZ,19.97,20.21,19.8,20.16,19.77,0.39,1.9727,61982.92,124428.869
20190723,87,300408.SZ,20.0,20.13,19.65,19.77,19.99,-0.22,-1.1006,52137.38,103588.803
20190722,88,300408.SZ,20.22,20.22,19.71,19.99,20.03,-0.04,-0.1997,38359.1,76759.939
20190719,89,300408.SZ,20.17,20.38,19.94,20.03,20.02,0.01,0.05,33208.01,66802.627
20190718,90,300408.SZ,20.24,20.44,19.91,20.02,20.37,-0.35,-1.7182,49655.06,99961.073
20190717,91,300408.SZ,19.87,20.42,19.82,20.37,19.89,0.48,2.4133,89160.99,180717.311
20190716,92,300408.SZ,19.8,20.03,19.73,19.89,19.84,0.05,0.252,32961.44,65540.301
20190715,93,300408.SZ,19.31,19.96,19.1,19.84,19.46,0.38,1.9527,79231.07,156182.383
20190712,94,300408.SZ,19.51,19.51,19.09,19.46,19.39,0.07,0.361,51474.61,99343.278
20190711,95,300408.SZ,19.33,19.57,19.21,19.39,19.28,0.11,0.5705,38392.0,74540.876
20190710,96,300408.SZ,19.34,19.46,19.19,19.28,19.1,0.18,0.9424,43303.36,83559.194
20190709,97,300408.SZ,18.6,19.22,18.46,19.1,18.8,0.3,1.5957,72489.69,137618.788
20190708,98,300408.SZ,19.12,19.12,18.42,18.8,19.12,-0.32,-1.6736,68233.54,127709.143
20190705,99,300408.SZ,19.4,19.4,19.09,19.12,19.31,-0.19,-0.9839,42803.22,82181.128
20190704,100,300408.SZ,19.51,19.72,19.12,19.31,19.52,-0.21,-1.0758,65149.99,126158.15
20190703,101,300408.SZ,19.88,19.88,19.51,19.52,19.99,-0.47,-2.3512,44257.07,87125.302
20190702,102,300408.SZ,19.69,19.99,19.55,19.99,19.67,0.32,1.6268,87914.87,173937.896
20190701,103,300408.SZ,19.99,19.99,19.54,19.67,19.2,0.47,2.4479,85345.56,168789.077
20190628,104,300408.SZ,19.68,19.68,19.11,19.45,19.6,-0.15,-0.7653,57622.93,111438.633
20190627,105,300408.SZ,19.3,19.62,19.24,19.6,19.31,0.29,1.5018,95037.78,185116.794
20190626,106,300408.SZ,18.95,19.39,18.72,19.31,18.97,0.34,1.7923,69257.25,132852.894
20190625,107,300408.SZ,18.95,19.14,18.6,18.97,18.99,-0.02,-0.1053,67641.88,127022.967
20190624,108,300408.SZ,19.4,19.4,18.92,18.99,19.14,-0.15,-0.7837,51676.56,98403.173
20190621,109,300408.SZ,19.7,19.79,19.08,19.14,18.99,0.15,0.7899,88260.84,170930.829
20190620,110,300408.SZ,18.75,19.32,18.59,18.99,18.75,0.24,1.28,91034.21,172930.344
20190619,111,300408.SZ,18.65,18.92,18.3,18.75,17.85,0.9,5.042,136670.85,254989.042
20190618,112,300408.SZ,17.75,17.96,17.62,17.85,17.75,0.1,0.5634,43753.13,78031.541
20190617,113,300408.SZ,17.73,17.85,17.42,17.75,17.69,0.06,0.3392,56248.95,99483.708
20190614,114,300408.SZ,17.8,18.07,17.57,17.69,17.82,-0.13,-0.7295,73161.59,129830.48
20190613,115,300408.SZ,18.1,18.15,17.71,17.82,18.13,-0.31,-1.7099,74201.16,132743.789
20190612,116,300408.SZ,18.34,18.34,18.03,18.13,18.31,-0.18,-0.9831,71716.91,130371.609
20190611,117,300408.SZ,17.8,18.39,17.41,18.31,17.74,0.57,3.2131,138054.85,250041.372
20190610,118,300408.SZ,17.9,18.19,17.45,17.74,17.91,-0.17,-0.9492,100601.63,178892.481
20190606,119,300408.SZ,18.29,18.37,17.2,17.91,18.3,-0.39,-2.1311,185727.55,328817.179
20190605,120,300408.SZ,18.65,18.66,18.11,18.3,18.41,-0.11,-0.5975,90821.78,166502.464
20190604,121,300408.SZ,18.91,18.91,18.22,18.41,18.91,-0.5,-2.6441,68548.33,126535.203
20190603,122,300408.SZ,18.81,19.18,18.54,18.91,18.88,0.03,0.1589,74210.33,139967.597
20190531,123,300408.SZ,19.4,19.4,18.86,18.88,19.1,-0.22,-1.1518,42905.55,81609.869
20190530,124,300408.SZ,19.29,19.29,18.9,19.1,19.42,-0.32,-1.6478,51612.81,98236.807
20190529,125,300408.SZ,18.74,19.45,18.58,19.42,18.75,0.67,3.5733,86862.99,165612.979
20190528,126,300408.SZ,18.33,18.95,18.27,18.75,18.36,0.39,2.1242,126505.01,236341.427
20190527,127,300408.SZ,18.2,18.59,17.9,18.36,18.21,0.15,0.8237,119856.07,218846.788
20190524,128,300408.SZ,18.02,18.42,18.02,18.21,18.02,0.19,1.0544,77828.1,142077.747
20190523,129,300408.SZ,19.02,19.1,17.97,18.02,19.01,-0.99,-5.2078,144226.87,262976.604
20190522,130,300408.SZ,19.18,19.24,18.81,19.01,19.0,0.01,0.0526,48466.92,92315.709
20190521,131,300408.SZ,18.67,19.2,18.51,19.0,18.73,0.27,1.4415,43552.7,82486.003
20190520,132,300408.SZ,18.91,19.29,18.32,18.73,19.1,-0.37,-1.9372,72492.68,136333.978
20190517,133,300408.SZ,19.66,19.66,19.03,19.1,19.56,-0.46,-2.3517,55230.44,106582.524
20190516,134,300408.SZ,19.61,19.81,19.46,19.56,19.71,-0.15,-0.761,55448.82,108684.414
20190515,135,300408.SZ,19.62,19.86,19.51,19.71,19.45,0.26,1.3368,63173.11,124680.356
20190514,136,300408.SZ,19.2,19.69,19.13,19.45,19.24,0.21,1.0915,73622.85,143768.191
20190513,137,300408.SZ,19.59,19.59,19.12,19.24,19.65,-0.41,-2.0865,63138.23,121954.833
20190510,138,300408.SZ,19.3,19.86,19.02,19.65,19.1,0.55,2.8796,76711.39,149074.369
20190509,139,300408.SZ,18.81,19.38,18.8,19.1,18.98,0.12,0.6322,64483.47,123409.703
20190508,140,300408.SZ,19.21,19.4,18.85,18.98,19.46,-0.48,-2.4666,80150.55,153232.573
20190507,141,300408.SZ,19.14,19.58,19.14,19.46,18.97,0.49,2.583,77278.28,149652.491
20190506,142,300408.SZ,18.95,19.66,18.95,18.97,19.81,-0.84,-4.2403,135885.78,259611.176
20190430,143,300408.SZ,19.8,20.21,19.68,19.81,19.83,-0.02,-0.1009,72598.69,144413.776
20190429,144,300408.SZ,20.0,20.37,19.48,19.83,19.91,-0.08,-0.4018,125041.37,249754.002
20190426,145,300408.SZ,20.32,20.47,19.9,19.91,20.31,-0.4,-1.9695,93030.33,187421.102
20190425,146,300408.SZ,20.5,20.72,20.16,20.31,20.54,-0.23,-1.1198,100309.33,204685.055
