trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20191210,0,600153.SH,8.45,8.48,8.37,8.42,8.45,-0.03,-0.355,103605.26,87381.739
20191209,1,600153.SH,8.44,8.48,8.34,8.45,8.35,0.1,1.1976,114039.49,96017.009
20191206,2,600153.SH,8.35,8.38,8.28,8.35,8.32,0.03,0.3606,85645.98,71433.875
20191205,3,600153.SH,8.37,8.41,8.27,8.32,8.37,-0.05,-0.5974,82499.03,68729.329
20191204,4,600153.SH,8.32,8.41,8.25,8.37,8.31,0.06,0.722,128462.46,107106.533
20191203,5,600153.SH,8.07,8.34,8.04,8.31,8.08,0.23,2.8465,205277.76,169409.198
20191202,6,600153.SH,8.02,8.11,7.97,8.08,8.0,0.08,1.0,105372.68,84882.982
20191129,7,600153.SH,7.88,8.04,7.87,8.0,7.91,0.09,1.1378,91645.89,73199.936
20191128,8,600153.SH,7.99,7.99,7.89,7.91,7.93,-0.02,-0.2522,64327.63,50995.993
20191127,9,600153.SH,8.05,8.05,7.91,7.93,8.04,-0.11,-1.3682,110043.4,87818.579
20191126,10,600153.SH,8.08,8.08,7.99,8.04,7.99,0.05,0.6258,143727.76,115490.666
20191125,11,600153.SH,7.9,8.04,7.9,7.99,7.88,0.11,1.3959,133251.24,106494.608
20191122,12,600153.SH,7.96,7.99,7.84,7.88,7.94,-0.06,-0.7557,90320.22,71360.625
20191121,13,600153.SH,7.89,7.96,7.82,7.94,7.83,0.11,1.4049,115002.22,91012.734
20191120,14,600153.SH,7.9,7.94,7.81,7.83,7.88,-0.05,-0.6345,81145.38,63913.561
20191119,15,600153.SH,7.72,7.9,7.71,7.88,7.74,0.14,1.8088,115510.26,90385.169
20191118,16,600153.SH,7.64,7.75,7.61,7.74,7.62,0.12,1.5748,97740.92,75172.778
20191115,17,600153.SH,7.72,7.75,7.6,7.62,7.72,-0.1,-1.2953,118410.73,90882.837
20191114,18,600153.SH,7.79,7.81,7.71,7.72,7.77,-0.05,-0.6435,141541.66,109623.399
20191113,19,600153.SH,7.92,7.92,7.74,7.77,7.9,-0.13,-1.6456,160339.73,125152.07
20191112,20,600153.SH,7.93,8.01,7.87,7.9,7.97,-0.07,-0.8783,135096.27,107044.502
20191111,21,600153.SH,8.12,8.12,7.89,7.97,8.14,-0.17,-2.0885,175339.11,139800.7
20191108,22,600153.SH,8.22,8.23,8.13,8.14,8.19,-0.05,-0.6105,161017.16,131309.92
20191107,23,600153.SH,8.22,8.27,8.15,8.19,8.19,0.0,0.0,132177.72,108245.775
20191106,24,600153.SH,8.24,8.29,8.17,8.19,8.24,-0.05,-0.6068,90839.78,74764.428
20191105,25,600153.SH,8.23,8.29,8.17,8.24,8.23,0.01,0.1215,142402.77,117276.363
20191104,26,600153.SH,8.35,8.38,8.23,8.23,8.35,-0.12,-1.4371,169938.48,140590.038
20191101,27,600153.SH,8.43,8.49,8.27,8.35,8.49,-0.14,-1.649,206195.39,172033.291
20191031,28,600153.SH,8.79,8.83,8.44,8.49,8.84,-0.35,-3.9593,153270.5,132187.767
20191030,29,600153.SH,8.73,8.88,8.66,8.84,8.74,0.1,1.1442,114717.59,101043.213
20191029,30,600153.SH,8.78,8.83,8.69,8.74,8.78,-0.04,-0.4556,94968.73,82971.86
20191028,31,600153.SH,8.62,8.82,8.62,8.78,8.68,0.1,1.1521,96658.1,84230.453
20191025,32,600153.SH,8.65,8.7,8.54,8.68,8.6,0.08,0.9302,74910.98,64686.438
20191024,33,600153.SH,8.56,8.67,8.56,8.6,8.61,-0.01,-0.1161,53528.5,46114.573
20191023,34,600153.SH,8.68,8.74,8.6,8.61,8.72,-0.11,-1.2615,69961.18,60513.567
20191022,35,600153.SH,8.73,8.75,8.67,8.72,8.71,0.01,0.1148,61796.2,53804.484
20191021,36,600153.SH,8.74,8.78,8.62,8.71,8.74,-0.03,-0.3432,84884.22,73845.908
20191018,37,600153.SH,8.79,8.94,8.72,8.74,8.73,0.01,0.1145,112159.03,98978.237
20191017,38,600153.SH,8.8,8.84,8.71,8.73,8.81,-0.08,-0.9081,78794.33,69115.633
20191016,39,600153.SH,8.95,8.97,8.69,8.81,8.88,-0.07,-0.7883,139355.01,122642.469
20191015,40,600153.SH,8.77,8.92,8.76,8.88,8.81,0.07,0.7946,111194.64,98598.016
20191014,41,600153.SH,8.78,8.92,8.76,8.81,8.73,0.08,0.9164,102687.76,90860.992
20191011,42,600153.SH,8.76,8.81,8.66,8.73,8.72,0.01,0.1147,81739.91,71381.746
20191010,43,600153.SH,8.62,8.74,8.57,8.72,8.57,0.15,1.7503,108684.69,94389.369
